path,status,size,recommended_pr,reason
data/reports/vcp_01_living_state_operator_brief.md,modified,1584,follow-up VCP PR,VCP-01 daily refresh, baseline already on main
data/reports/vcp_02_heartbeat_operator_brief.md,modified,1285,follow-up VCP PR,VCP-02 daily refresh, baseline already on main
data/reports/vcp_03_burn_in_log.json,modified,1348,follow-up VCP PR,VCP-03 Day2 progress
data/reports/vcp_03_burn_in_log.md,modified,365,follow-up VCP PR,VCP-03 Day2 progress
data/reports/vcp_03_operator_brief.md,modified,724,follow-up VCP PR,VCP-03 Day2 progress
data/reports/velo_heartbeat_latest.json,modified,3341,follow-up VCP PR,VCP-02 daily output refresh
data/reports/velo_heartbeat_latest.md,modified,1861,follow-up VCP PR,VCP-02 daily output refresh
data/reports/vcp03_day2_operator_docket.json,untracked,15219,follow-up VCP PR,VCP-03 Day2 artifact
data/reports/vcp03_day2_operator_docket.md,untracked,11978,follow-up VCP PR,VCP-03 Day2 artifact
data/reports/vcp03_post_burnin_decision_board.md,untracked,7270,follow-up VCP PR,VCP-03 decision tracking
scripts/ops/build_vcp03_day2_docket.py,untracked,31188,follow-up VCP PR,generator code for above
scripts/ops/build_course_00_audit.py,untracked,92728,evidence/code PR,audit generator, report-only
scripts/ops/build_course_00a_tribunal.py,untracked,62804,evidence/code PR,audit generator, report-only
scripts/ops/build_j30_forensic_pack.py,untracked,60699,evidence/code PR,audit generator, report-only
scripts/ops/build_results_01_audit.py,untracked,60547,evidence/code PR,audit generator, report-only
scripts/ops/build_results_02_audit.py,untracked,102036,evidence/code PR,audit generator, report-only
scripts/ops/extract_local_draw_stats.py,untracked,9061,evidence/code PR,only source of VERIFIED_LOCAL draw data
scripts/ops/parse_rp_course_profiles.py,untracked,30392,evidence/code PR,RP course capture parser
tests/test_course_00_audit.py,untracked,16832,evidence/code PR,test coverage
tests/test_course_00a_tribunal.py,untracked,13286,evidence/code PR,test coverage
tests/test_j30_forensic_pack.py,untracked,13656,evidence/code PR,test coverage
tests/test_results_01_audit.py,untracked,16457,evidence/code PR,test coverage
tests/test_results_02_audit.py,untracked,14804,evidence/code PR,test coverage
data/reports/results_01_external_source_backfill_map.md,untracked,2002,evidence PR,RESULTS-01 evidence
data/reports/results_01_full_results_truth_audit.json,untracked,68909,evidence PR,RESULTS-01 evidence
data/reports/results_01_full_results_truth_audit.md,untracked,1603,evidence PR,RESULTS-01 evidence
data/reports/results_01_operator_brief.md,untracked,3719,evidence PR,RESULTS-01 evidence
data/reports/results_01_rpr_dependency_full_corpus.md,untracked,309,evidence PR,RESULTS-01 evidence
data/reports/results_01_training_vs_sigma_gap.md,untracked,1366,evidence PR,RESULTS-01 evidence
data/reports/results_02_beverley_deep_dive.md,untracked,8884,evidence PR,RESULTS-02 evidence
data/reports/results_02_course_feature_backfill_map.md,untracked,2458,evidence PR,RESULTS-02 evidence
data/reports/results_02_course_intelligence_audit.json,untracked,156300,evidence PR,RESULTS-02 evidence
data/reports/results_02_course_intelligence_audit.md,untracked,13254,evidence PR,RESULTS-02 evidence
data/reports/results_02_midprice_failure_audit.json,untracked,4114,evidence PR,RESULTS-02 evidence
data/reports/results_02_midprice_failure_audit.md,untracked,2699,evidence PR,RESULTS-02 evidence
data/reports/results_02_operator_brief.md,untracked,4173,evidence PR,RESULTS-02 evidence
data/reports/course_00_aw_cluster_deep_dive.md,untracked,4523,evidence PR,COURSE-00 evidence
data/reports/course_00_beverley_war_book.md,untracked,6281,evidence PR,COURSE-00 evidence
data/reports/course_00_course_01_design_spec.md,untracked,2745,evidence PR,COURSE-00 evidence
data/reports/course_00_course_eyes_completion_pack.json,untracked,404830,evidence PR,COURSE-00 evidence — largest report file, still text/reviewable
data/reports/course_00_course_eyes_completion_pack.md,untracked,17456,evidence PR,COURSE-00 evidence
data/reports/course_00_course_watchlist.md,untracked,7160,evidence PR,COURSE-00 evidence
data/reports/course_00_external_source_field_map.md,untracked,3964,evidence PR,COURSE-00 evidence
data/reports/course_00_operator_brief.md,untracked,3955,evidence PR,COURSE-00 evidence
data/reports/course_00a_operator_brief.md,untracked,3848,evidence PR,COURSE-00A evidence
data/reports/course_00a_source_provenance_tribunal.json,untracked,43351,evidence PR,COURSE-00A evidence
data/reports/course_00a_source_provenance_tribunal.md,untracked,2762,evidence PR,COURSE-00A evidence
data/reports/course_00b_rp_capture_operator_brief.json,untracked,968,evidence PR,COURSE-00B evidence
data/reports/course_00b_rp_capture_operator_brief.md,untracked,13091,evidence PR,COURSE-00B evidence
data/reports/course_intelligence_rp_raw.json,untracked,43960,evidence PR,COURSE-00 evidence
data/reports/course_manual_extract.json,untracked,1833,evidence PR,COURSE-00 evidence
data/reports/local_draw_stats_summary.md,untracked,2148,evidence PR,COURSE-00 evidence
data/reports/j30_ew_candidate_reality_audit_2026-06-30.md,untracked,1453,evidence PR,J30 forensic evidence
data/reports/j30_exotics_audit_2026-06-30.md,untracked,1140,evidence PR,J30 forensic evidence
data/reports/j30_forensic_full_pack_2026-06-30.json,untracked,84303,evidence PR,J30 forensic evidence
data/reports/j30_forensic_full_pack_2026-06-30.md,untracked,11691,evidence PR,J30 forensic evidence
data/reports/j30_forensic_operator_brief_2026-06-30.md,untracked,4032,evidence PR,J30 forensic evidence
data/reports/j30_midprice_miss_recovery_audit_2026-06-30.md,untracked,1713,evidence PR,J30 forensic evidence
data/reports/j30_new_build_top3_value_audit_2026-06-30.md,untracked,1868,evidence PR,J30 forensic evidence
data/reports/j30_old_velo_rpr_dependency_audit_2026-06-30.md,untracked,1126,evidence PR,J30 forensic evidence
