path,status,size,family,note
data/eod_playbook_g_shadow_critique_20260629.json,modified,835,daily operational data,same family as 8753b4f
data/eod_result_study_20260629.json,modified,2646,daily operational data,same family as 8753b4f
data/eod_result_study_20260629.md,modified,892,daily operational data,same family as 8753b4f
data/mission_control/latest.json,modified,5831,daily operational data,mission control pointer refresh
data/new_build/reports/current_card_passport_feed_latest.json,modified,3692058,daily operational data,large but text (3.69MB), baseline already committed
data/new_build/reports/current_card_passport_feed_latest.md,modified,37314,daily operational data,paired with above
data/new_build/reports/passport_coverage_latest.json,modified,1113,daily operational data,passport coverage refresh
data/nightly_eod_learning_status_2026_06_29.json,modified,920,daily operational data,same family as 8753b4f
data/playbook_g_nightly_audit_2026_06_29.json,modified,1218,daily operational data,same family as 8753b4f
data/reports/racecard_cache_gate_latest.json,modified,2111,daily operational data,racecard cache gate refresh
data/reports/racecard_cache_gate_latest.md,modified,877,daily operational data,racecard cache gate refresh
data/reports/radical_shadow_latest.json,modified,136063,daily operational data,radical shadow pointer refresh
data/reports/radical_shadow_latest.md,modified,6200,daily operational data,radical shadow pointer refresh
data/reports/vfu_20_field_size_recovery_audit.json,modified,2171,vfu-20 refresh,baseline already on main (commit ffc37e0), unrelated to this audit chain
data/reports/vfu_20_field_size_remediation_summary.json,modified,13072,vfu-20 refresh,same as above
data/reports/vfu_20_field_size_repaired_ledger.jsonl,modified,7163015,vfu-20 refresh,largest single delta in this set (7.16MB)
data/reports/vfu_20_label_reconciliation_after_repair.json,modified,8223,vfu-20 refresh,same family
data/reports/vfu_20_operator_brief.json,modified,8462,vfu-20 refresh,same family
data/router_shadow_audit_latest.md,modified,15622,daily operational data,router shadow pointer refresh
data/sigma_memory/sigma_retrieval_corpus_v1_report.json,modified,1397,daily operational data,sigma memory refresh
data/telegram_delivery_truth_2026_06_30.json,modified,26607,daily operational data,delivery confirmation log, text only, low risk
data/timing_audit/runtime_timing_audit_2026_06_30.json,modified,13736,daily operational data,same family as 8753b4f
data/velo_daily_run_truth_2026_06_30.md,modified,967,daily operational data,same family as 8753b4f
data/council_packets/council_packet_2026-06-30.json,untracked,100273,council/mission-control snapshot,same family as 8753b4f, one day newer
data/council_reports/velo_council_report_2026-06-30.md,untracked,1711,council/mission-control snapshot,same family
data/council_runs/council_run_2026-06-30.json,untracked,8458,council/mission-control snapshot,same family
data/mission_control/2026-06-30_mission_control.json,untracked,5831,council/mission-control snapshot,same family
data/radical_shadow_2026_06_30.json,untracked,136063,daily operational data,dated snapshot pair to *_latest above
data/radical_shadow_2026_06_30.md,untracked,6200,daily operational data,dated snapshot pair to *_latest above
data/router_shadow_audit_runs/router_shadow_audit_20260630_222946.md,untracked,15622,daily operational data,same family
data/sigma_results/sigma_results_2026_06_30.json,untracked,23917,daily operational data,same family
data/sigma_results/sigma_results_2026_06_30.md,untracked,373,daily operational data,same family
data/velo_run_observability_2026_06_30_e872189b.json,untracked,1331,daily operational data,same family
scripts/data/place_signal_operator_card_2026_06_22.md,untracked,5745,operator card snapshot,dated historical snapshot
scripts/data/place_signal_operator_card_2026_06_24.md,untracked,4412,operator card snapshot,dated historical snapshot
