family,scope,source_file,target_schema,n_features,provenance_status,gate_status,notes
UK_FORM_CORE,UK,data/raceform_v17_features.parquet,raceform_v17,47,PRE_RACE_SAFE,LIVE_ACTIVE,"OR/RPR/TS lagged; sp_dec; is_fav; implied_prob; pos; draw; wgt; age; dist_f; going_code; is_aw"
UK_SIDECAR_SCORES,UK,data/raceform_v17_features.parquet,raceform_v17,9,PRE_RACE_SAFE,LIVE_ACTIVE,"improvement_score; market_deception_score; place_prob; release_window_score; odds_resilience_score; odds_contraction_score; quiet_run_score; trainer_timing_score; jockey_switch_intent"
UK_RPDC_TAGS,UK,data/runner_release_candidates (Supabase),runner_release_candidates,8,PRE_RACE_SAFE,LIVE_ACTIVE,"rpdc_tag; rpdc_score; cash_window_flag; cycle_run; stable_warm; course_return; mark_ready; days_since_last_run"
UK_RACE_SHAPE,UK,data/features/race_shape_features_latest.json,race_shape_features,12,PRE_RACE_SAFE,SHADOW_ONLY,"Pace map; field structure; front-runner profile; shape divergence. Not yet wired to live scoring."
HK_PRERACE_V1,HK,data/features/hk_prerace_features_v1.parquet,hk_prerace_v1,29,AUDITED_SAFE,GATE_BLOCKED,"Horse-level lagged: prev_rpr_num; last3_rpr_avg; prev_or_num; last3_or_avg; prev_finish_pos; last3_finish_avg; days_since_last_run; starts_last_90. Draw: draw_win_rate_lagged; draw_place_rate_lagged. Class: class_move_direction; class_drop_flag; prior_class_win/place_rate. Field: rpr_rank_lagged; or_rank_lagged; rating_consensus_lagged; race_competitiveness_pre. DROP: prev_class_num; class_rise_flag. REVIEW: class_drop_flag."
HK_PRERACE_V2,HK,data/features/hk_prerace_features_v2.parquet,hk_prerace_v2,35,AUDITED_SAFE,GATE_BLOCKED,"Extends V1 with market signal: implied_prob; sp_rank; log_sp; is_fav; market_prob_ratio; form_mkt_diverge. Coverage: 100% on all market features."
FR_PRERACE_V1,FR,data/features/fr_prerace_features_v1.parquet,fr_prerace_v1,26,AUDITED_SAFE,GATE_BLOCKED,"Lagged RPR/TS: lagged_rpr_last1/last3_avg/last3_max; lagged_ts_last1/last3_avg. Going bucket: going_is_fast/good/soft. Race type: is_hurdle; is_chase; is_flat_code. Placeholders: penetrometer_available=0; quintet_plus_available=0; class_proxy_available=0. Leakage confirmed: same-race RPR/TS excluded."
FR_PRERACE_V2,FR,data/features/fr_prerace_features_v2.parquet,fr_prerace_v2,32,AUDITED_SAFE,GATE_BLOCKED,"Extends V1 with market signal: implied_prob; sp_rank; log_sp; is_fav; market_prob_ratio; form_mkt_diverge. Coverage: 99.9% on market features."
INTL_LAGGED_RATINGS,HK+FR,data/features/international_lagged_rating_features.parquet,intl_lagged,32,AUDITED_SAFE,GATE_BLOCKED,"Horse-level lags with strict temporal ordering. Coverage: prev_rpr_num 81.2%; prev_or_num 54.9%; days_since_last_run 88.6%; course_prior_wr 15.2%. Built by build_international_lagged_rating_features.py."
JTC_D_PROFILES,UK,data/features/jtc_d/,jtc_d,5 tables,PRE_RACE_SAFE,LIVE_ACTIVE,"Jockey-trainer-course-distance profiles. 1.7M row history. 5 tables: trainer_course; trainer_distance; jockey_course; jockey_distance; trainer_jockey_combo. Built from Racing API data."
UK_MACRO_REGIME,UK,data/bha_macro_features.parquet,bha_macro,13,PRE_RACE_SAFE,LIVE_ACTIVE,"BHA macro indices: competitiveness_index; favourite_compression_index; regime_label; chaos_mode; favourite_trap_risk; low_field_warning. From src/intelligence/macro_regime/bha_macro_context.py."
HK_MORNING_ODDS,HK,NOT_YET_BUILT,hk_morning_odds,0,FUTURE_ENRICHMENT,GATE_BLOCKED,"HKJC tote pool distribution (public; pre-race). Primary unlock for HK gate if market signal at off is insufficient. Requires dedicated HKJC ingestion script."
FR_MORNING_ODDS,FR,NOT_YET_BUILT,fr_morning_odds,0,FUTURE_ENRICHMENT,GATE_BLOCKED,"PMU morning prices (unofficial API; pre-race). Primary unlock for FR gate. Requires PMU collector script."
FR_PENETROMETER,FR,NOT_YET_BUILT,fr_going_numeric,1,FUTURE_ENRICHMENT,GATE_BLOCKED,"France Galop numeric penetrometer reading. Better going proxy than bucket codes."
FR_QUINTET_PLUS,FR,NOT_YET_BUILT,fr_race_flags,1,FUTURE_ENRICHMENT,GATE_BLOCKED,"PMU Quinté+ race designation flag. High-prize feature races have different competitive dynamics."
FR_CLASS_PROXY,FR,NOT_YET_BUILT,fr_class,1,FUTURE_ENRICHMENT,GATE_BLOCKED,"France Galop Valeur rating as class proxy. Needed for class trajectory features analogous to HK class_move_direction."
SHADOW_MODEL_CHALLENGER,UK,models/shadow/model_arena/,shadow_challenger,4 models,PRE_RACE_SAFE,SHADOW_ONLY,"Shadow Model V1 challenger ensemble: lightgbm_win; lightgbm_frame; logistic_baseline_win; logistic_baseline_frame. Arena V2 also present. Forward shadow lane active 2026-05-18."
