check,before_value,after_value,changed,note
velo_verdicts rows for 2026-07-04,51,51,no,not touched by this mission (verdicts-only writes were a prior, separately authorized mission)
runner_release_candidates rows for run_date=2026-07-04,453,453,no,RPDC not touched by this mission
sigma_audits rows for 2026-07-04,45,45,no,run_results_sigma.py NOT re-run in this mission; Sigma was already complete at 51/51 before this mission started
racing_horse_runs rows for run_date=2026-07-04,439 (50 races),449 (51 races),yes,"authorized Step 13 date-scoped upsert; conflict key (race_id,horse_id); idempotent"
runner_prediction_snapshots rows for 2026-07-04+,0,0,no,confirmed unchanged; no snapshot writes in this mission
local runner_snapshots_*.jsonl file count,116,116,no,confirmed via find before and after
model files (*.pkl/*.joblib under repo root),none found / untouched,none found / untouched,no,no model training or promotion occurred
Telegram sends during this mission,0,0,no,Steps 13-20 in this mission do not send Telegram; execution bridge governance line confirms 'Telegram: NOT SENT'
Mission Control sigma_artifact.n,50,51,yes,local artifact refresh only (data/mission_control/*.json), not a Supabase write
router_shadow_audit lane counts,V1=220 V2=210 V6=81,V1=221 V2=211 V6=82,yes,local CSV/MD artifact refresh only; all lanes remain LANE_FROZEN before and after
nightly_eod_learning_status matched_races,50,51,yes,local JSON artifact refresh only; shadow_state_touched=true, live_sentient_state_touched=false both runs
