extracted_file,source_stash,content_type,verdict,note
stash_02_extracted/stash4_VELO_LLM_COUNCIL_V1.md,stash@{4},doc addition,SAFE_FOR_DOCS_PR,Daily Run Truth Duty section confirmed unmerged; referenced watchdog script still exists
stash_02_extracted/VELO_COMPANY_MASTER_PLAN_V1.md,stash@{6},business doc,SAFE_FOR_DOCS_PR_PENDING_SENSITIVITY_SIGNOFF,~20KB never-committed master plan
stash_02_extracted/VELO_FUNDING_PACK_OUTLINE_V1.md,stash@{6},business doc,SAFE_FOR_DOCS_PR_PENDING_SENSITIVITY_SIGNOFF,never-committed funding pack outline
stash_02_extracted/VELO_WHITEPAPER_OUTLINE_V1.md,stash@{6},business doc,SAFE_FOR_DOCS_PR_PENDING_SENSITIVITY_SIGNOFF,never-committed whitepaper outline
stash_02_extracted/VELO_49_DAY_SIGNAL_DISCOVERY_REPORT_V1.md,stash@{6},evidence doc,SAFE_FOR_DOCS_PR_PENDING_SENSITIVITY_SIGNOFF,never-committed evidence report
stash_02_extracted/VELO_SIGNAL_RANKINGS_V1.md,stash@{6},evidence doc,SAFE_FOR_DOCS_PR_PENDING_SENSITIVITY_SIGNOFF,never-committed signal rankings doc
stash_02_extracted/stash5_locked_runtime_patch.diff,stash@{5},code patch (9 files/917 lines),MANUAL_REVIEW_REQUIRED_BEFORE_ANY_PR,touches LOCKED run_results_sigma.py non-runner detection logic
stash_02_extracted/stash8_security_validator_patch.diff,stash@{8},code patch (3 files/1015 lines),MANUAL_REVIEW_REQUIRED_BEFORE_ANY_PR,security_validator.py and persistence logic rework, files not orphaned
stash_02_extracted/stash10_deletion_proposal.txt,stash@{10},deletion proposal summary,OPERATOR_DECISION_PENDING,5 files still exist 3+ months later
stash_02_extracted/stash10_deletion_proposal.diff,stash@{10},deletion proposal full diff,OPERATOR_DECISION_PENDING,includes superseded CLAUDE.md rewrite
