artifact,path,type,location
PR #122 merge,GitHub commit 1158dfa,github,origin/main
PR #123 merge,GitHub commit fcce9e1,github,origin/main
PR #124 (open),GitHub branch fix/rp-merged-race-type-extraction,github,not yet merged
velo_verdicts,Supabase table,supabase_table,shared (22 rows for 2026-07-05)
runner_release_candidates,Supabase table,supabase_table,shared (193 rows for 2026-07-05)
Supabase persistence proof,data/reports/supabase_persistence_proof_2026-07-05.json,local_file,dirty_repo
RPDC integrity check,data/current/rpdc_integrity_latest.json,local_file,dirty_repo
racecard cache gate diagnostic,data/reports/racecard_cache_gate_latest.json,local_file,dirty_repo
Dashboard publish,data/dashboard_daily_predictions_2026_07_05.json,local_file,dirty_repo (gitignored)
report,data/reports/july05_raceday_state_operator_brief.md,committed_report,clean_worktree (this mission)
report,data/reports/july05_pipeline_fixes_operator_brief.md,committed_report,clean_worktree (this mission)
report,data/reports/july05_identity_pdf_rpdc_verification.csv,committed_report,clean_worktree (this mission)
report,data/reports/july05_pre_sigma_side_effect_diff.csv,committed_report,clean_worktree (this mission)
report,data/reports/july05_outputs_inventory.csv,committed_report,clean_worktree (this mission)
