path,source_commit,reason
CLAUDE.md,e5b259b,doc accuracy update
README.md,e5b259b,doc accuracy update
docs/current/ONE_TRUTH.md,e5b259b,truth-lock content update
scripts/ops/new_build_two_lane_score.py,e5b259b,going_code scale regression fix (A-3)
tests/test_new_build_paper_scorer.py,e5b259b,test for going_code fix
docs/current/BETTING_LEDGER_PROVENANCE_AUDIT.md -> docs/archive/,e5b259b,doc rename (1 of 34)
docs/current/COLD_STORAGE_AND_JUNK_QUARANTINE_PLAN.md -> docs/archive/,e5b259b,doc rename
CURRENT_RUNTIME_TRUTH.md -> docs/archive/CURRENT_RUNTIME_TRUTH_archived_2026_06_29.md,e5b259b,doc rename — the exact file GitHub still shows stale at root
docs/current/DEEP_RACE_AGENT_BACKFILL_TRUTH_PACKET_2026_06_21.md -> docs/archive/,e5b259b,doc rename
docs/current/DEEP_RACE_AGENT_LOCAL_GOLD_INVENTORY_2026_06_21.md -> docs/archive/,e5b259b,doc rename
docs/current/HISTORICAL_REPAIR_APPROVAL_PACKET.md -> docs/archive/,e5b259b,doc rename
docs/current/HORSE_PASSPORT_FORENSIC_EXTENSION_V1.md -> docs/archive/,e5b259b,doc rename
docs/current/JTC_D_WIRING_PLAN.md -> docs/archive/,e5b259b,doc rename
docs/current/LEARNING_100_DAY_CONTAMINATION_AUDIT.md -> docs/archive/,e5b259b,doc rename
docs/current/LITEPARSE_SOURCE_TRUTH_INTEGRATION_PLAN.md -> docs/archive/,e5b259b,doc rename
docs/current/LOCAL_TRUTH_DATABASE_SPEC.md -> docs/archive/,e5b259b,doc rename
docs/current/LOOP_REGISTRY.md -> docs/archive/,e5b259b,doc rename
docs/current/MINIMAL_PRODUCTION_TOPOLOGY.md -> docs/archive/,e5b259b,doc rename
docs/current/NEW_VELO_RADICAL_INTEGRATION_AUDIT_2026_06_19.md -> docs/archive/,e5b259b,doc rename
docs/current/NEXT_10_PRODUCTION_FIXES.md -> docs/archive/,e5b259b,doc rename
docs/current/ODDS_PROVENANCE_AUDIT.md -> docs/archive/,e5b259b,doc rename
docs/current/OPERATOR_100_DAY_TRUTH_SUMMARY.md -> docs/archive/,e5b259b,doc rename
docs/current/PATTERN_PROSECUTOR_SCHEMA_V1.md -> docs/archive/,e5b259b,doc rename
docs/current/PDF_PARSER_BENCHMARK_PLAN.md -> docs/archive/,e5b259b,doc rename
docs/current/PERFORMANCE_AND_MONEY_REALITY_AUDIT.md -> docs/archive/,e5b259b,doc rename
docs/current/PERFORMANCE_RESTATEMENT_AFTER_100_DAY_RECONCILIATION.md -> docs/archive/,e5b259b,doc rename
docs/current/PRODUCTION_READINESS_SCORECARD.md -> docs/archive/,e5b259b,doc rename
docs/current/PRODUCTION_TRANSITION_READINESS_AUDIT.md -> docs/archive/,e5b259b,doc rename
docs/current/RACE_DAY_11_EXECUTION_PACKET.md -> docs/archive/,e5b259b,doc rename
docs/current/RACE_DAY_11_REHEARSAL_PLAN.md -> docs/archive/,e5b259b,doc rename
docs/current/RAILWAY_CLEAN_ORCHESTRATOR_SPEC.md -> docs/archive/,e5b259b,doc rename
docs/current/RAILWAY_DASHBOARD_DECOMMISSION_STEPS.md -> docs/archive/,e5b259b,doc rename
docs/current/RAILWAY_DECOMMISSION_APPROVAL_PACKET.md -> docs/archive/,e5b259b,doc rename
docs/current/RAILWAY_SUPABASE_INFRA_AUDIT.md -> docs/archive/,e5b259b,doc rename
docs/current/RPDC_100_DAY_IMPACT_AUDIT.md -> docs/archive/,e5b259b,doc rename
docs/current/RPDC_ATTACH_FAILURE_JUNE9_INVESTIGATION.md -> docs/archive/,e5b259b,doc rename
docs/current/RUN_PRIME_STRANGLER_PLAN.md -> docs/archive/,e5b259b,doc rename
docs/current/SIGMA_UNIVERSE_SOURCE_INVENTORY.md -> docs/archive/,e5b259b,doc rename
docs/current/SUPABASE_REALITY_AUDIT.md -> docs/archive/,e5b259b,doc rename
THE_NEW_TRUTH.md -> docs/archive/THE_NEW_TRUTH_archived_2026_06_29.md,e5b259b,doc rename
docs/current/TREASURE_AND_JUNK_INVENTORY.md -> docs/archive/,e5b259b,doc rename
docs/current/VELO_100_DAY_RECONCILIATION_SCOPE.md -> docs/archive/,e5b259b,doc rename
docs/current/VELO_EXECUTION_ROADMAP.md -> docs/archive/,e5b259b,doc rename
docs/current/VELO_FORENSICS_UNIT_V1.md -> docs/archive/,e5b259b,doc rename
docs/current/VELO_INVESTOR_NARRATIVE_BRIEF.md -> docs/archive/,e5b259b,doc rename
docs/current/VELO_IVY_LEAGUE_PRODUCTION_PLAN.md -> docs/archive/,e5b259b,doc rename
docs/current/VELO_LOOPED_OS_ARCHITECTURE.md -> docs/archive/,e5b259b,doc rename
docs/current/VELO_MAIN_BRANCH_CONSOLIDATION_2026_06_20.md -> docs/archive/,e5b259b,doc rename
docs/current/VELO_PRODUCTION_HOSTING_DECISION.md -> docs/archive/,e5b259b,doc rename
docs/current/VELO_REMAINING_MISSING_PIECES.md -> docs/archive/,e5b259b,doc rename
docs/current/VELO_RHO_PROTOCOL.md -> docs/archive/,e5b259b,doc rename
docs/current/VELO_STEP_BACK_REPAIR_PLAN_2026_06_20.md -> docs/archive/,e5b259b,doc rename
docs/current/VELO_TOP8_HARNESS_EXISTING_INVENTORY.md -> docs/archive/,e5b259b,doc rename
docs/current/VELO_WHITE_PAPER_CLAIMS_REGISTER.md -> docs/archive/,e5b259b,doc rename
docs/current/VELO_WHITE_PAPER_INVESTOR_GRADE.md -> docs/archive/,e5b259b,doc rename
scripts/ops/build_velo_living_state.py,ff86674,VCP-01 organ
data/reports/vcp_01_living_state_operator_brief.md,ff86674,VCP-01 report
ops/task_contracts/VCP-01.json,ff86674,task contract
scripts/ops/build_velo_heartbeat.py,5f83fec,VCP-02 organ
data/reports/vcp_02_heartbeat_operator_brief.md,5f83fec,VCP-02 report
data/reports/velo_heartbeat_latest.json,5f83fec,VCP-02 output
data/reports/velo_heartbeat_latest.md,5f83fec,VCP-02 output
ops/task_contracts/VCP-02.json,5f83fec,task contract
tests/test_velo_heartbeat.py,5f83fec,test coverage
scripts/ops/build_vcp03_burn_in_log.py,a8b3e8a,VCP-03 organ
data/reports/vcp_03_burn_in_log.json,a8b3e8a,VCP-03 Day1 log
data/reports/vcp_03_burn_in_log.md,a8b3e8a,VCP-03 Day1 log
data/reports/vcp_03_operator_brief.md,a8b3e8a,VCP-03 report
docs/current/VCP_03_COHERENCE_BURN_IN_PROTOCOL.md,a8b3e8a,protocol doc
tests/test_velo_living_state.py,a8b3e8a,test coverage
app/main.py,ede88e6,dashboard NB top3 fix
scripts/ops/publish_daily_predictions_to_dashboard.py,ede88e6,dashboard NB top3 fix
data/reports/local_01_operator_brief.md,b0c354f,LOCAL-01 evidence pack
data/reports/local_01_truth_reconciliation_audit.md,b0c354f,LOCAL-01 evidence pack
data/reports/local_01_truth_reconciliation_audit.json,b0c354f,LOCAL-01 evidence pack
data/reports/local_01_missing_from_github_table.csv,b0c354f,LOCAL-01 evidence pack
data/reports/local_01_missing_from_supabase_table.csv,b0c354f,LOCAL-01 evidence pack
data/reports/local_01_unpushed_commits_table.csv,b0c354f,LOCAL-01 evidence pack
data/reports/local_01_runtime_entrypoints_table.csv,b0c354f,LOCAL-01 evidence pack
data/reports/local_01_supabase_write_paths_table.csv,b0c354f,LOCAL-01 evidence pack
data/reports/local_01_file_classification_table.csv,b0c354f,LOCAL-01 evidence pack
